Empresa;Nota (Estrelas);Qtd Avaliações;Resumo do Negócio (Pitch);Endereço;Telefone;Tipo;Link WhatsApp;Site;E-mail;Instagram;Facebook;LinkedIn;TikTok;YouTube
Stark Geradores;;-;Stark Geradores – Locação de geradores de energia;R. Raymundo Ramos Da Costa Almeida, 488  Brejaru, Palhoça - SC, 88133-514;0800 202 0022;❓ Outro;-;https://www.starkgeradores.com.br/;locacao@starkgeradores.com.br;https://www.instagram.com/starkgeradores/;https://www.facebook.com/StarkGeradores;-;-;https://www.youtube.com/channel/UCdx5osZRVWVhXMM7gZk34Tw
Cia do Andaime - Locação de Plataformas Elevatórias e Andaimes.;;-;Locação, Aluguel de Andaimes e Plataformas Elevatórias (Aérea, Suspensa, Elevadora, Tesoura) em São José, Florianópolis, Palhoça, Biguaçu - Santa Catarina.;R. Santo Antônio, 1484  Barreiros, São José - SC, 88117-351;(48) 98812-8530;📱 Telemóvel;https://wa.me/5548988128530;http://www.ciadoandaime.com/;c183baa23371454f99f417f6616b724d@sentry.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io;-;https://www.facebook.com/ciadoandaime;-;-;-
RODAG EQUIPAMENTOS • Manutenção em Betoneira e Mangote Vibrador. Locação Andaimes, Escoras, Rompedor, Mangote Vibrador.;;-;Empresa de locação de equipamentos para construção civil: betoneiras, andaimes, escoras, bombas d'agua. Peças e manutenção. Capoeiras - Florianópolis;R. Condé Afonso Célso, 114  Capoeiras, Florianópolis - SC, 88070-560;(48) 3244-7152;☎️ Fixo;-;https://www.rodagequipamentos.com.br/;contato@rodagequipamentos.com.br;https://www.instagram.com/rodagequipamentos;-;-;-;-
ALUGUEQUIP DO BRASIL - Aluguel Plataforma Elevatória/Articulada/Tesoura/Aérea, Mini Carregadeira e muito mais!;;-;Tudo o que você precisa num lugar só   Aluguel, venda e manutenção de equipamentos   Venda, aluguel e manutenção de equipamentos Encontre aqui o seu produto    Precisando alugar?   Fale com um especialista     Precisando de assistência?   Fale com um técnico especializado        Plataformas aéreas;R. Camilo Veríssimo da Silva, 535  Roçado, São José - SC, 88108-250;(48) 98469-3497;📱 Telemóvel;https://wa.me/5548984693497;http://www.aluguequip.com.br/;comercial@aluguequip.com.br, criciuma@aluguequip.com.br;https://www.instagram.com/aluguequip;https://www.facebook.com/aluguequip;-;-;https://www.youtube.com/@aluguequipdobrasil
Aluga Máquinas Locação de Equipamentos São Jose - SC;;-;O aluga maquinas sao jose oferece uma diversidade de equipamentos, todos com certificação e inspecionados por especialistas.;R. Léo Augusto da Silva, 203  Serraria, São José - SC, 88115-350;(48) 3258-0304;☎️ Fixo;-;https://www.alugamaquinassul.com.br/sao-jose/;itapema@alugamaquinassul.com.br, penha@alugamaquinassul.com.br;https://www.instagram.com/alugamaquinassul;https://www.facebook.com/alugamaquinas;https://www.linkedin.com/company/aluga-maquinas-sul;-;https://www.youtube.com/channel/UCxRuLk1hVYKO7YQ31QHwUkw
Obra Mais Aluguel de Equipamentos;;-;Obra Mais Locação MT - Obra Mais Locação;Av. Presidente Kennedy, 389  Campinas, São José - SC, 88102-401;(48) 99101-7003;📱 Telemóvel;https://wa.me/5548991017003;http://www.obramaislocacao.com.br/;-;https://www.instagram.com/obramaislocacao.mt/;https://www.facebook.com/obramaislocadora;-;-;-
Zulmak - Locação de Máquinas Para Construção;;-;Locação de Máquinas Para Construção;R. Juvenal Pereira, 357  Kobrasol, São José - SC, 88102-140;(48) 98846-4690;📱 Telemóvel;https://wa.me/5548988464690;http://www.zulmak.com.br/;zulmak@zulmak.com.br;https://www.instagram.com/zulmakequipamentos/;https://www.facebook.com/zulmakequipamentos;-;-;-
Vivoequip - Locação e Perfuração;;-;Home - Locação de Equipamentos e Serviços de Cortes e Furos;R. Alm. Carlos da Silveira Carneiro, 250  Agronômica, Florianópolis - SC, 88025-350;(48) 3269-6537;☎️ Fixo;-;https://vivoequip.com/shop/;vivoequip@vivoequip.com.br;https://www.instagram.com/vivoequip/;https://www.facebook.com/vivoequipcortes;-;-;https://www.youtube.com/@vivoequip-locacoeseperfura9663
AlugueMaq Aluguel de Máquinas e Equipamentos para Construção;;-;AlugueMaq - Megalink;R. João Izídio de Souza, 260  Serraria, São José - SC, 88115-660;(48) 99932-0191;📱 Telemóvel;https://wa.me/5548999320191;https://megalink.click/aluguemaq/;-;https://www.instagram.com/aluguemaq_sc/;-;-;-;-
Casa do Construtor São José;;-;São José - SC | Casa do Construtor - Aluguel de equipamentos;R. Irmãos Vieira, 38  Campinas, São José - SC, 88101-290;(48) 3039-3899;☎️ Fixo;-;https://www.casadoconstrutor.com.br/loja/sao-jose/;santoamarosc@casadoconstrutor.com.br, saojose@casadoconstrutor.com.br;https://www.instagram.com/casadoconstrutorsaojose/#;https://www.facebook.com/CasaDoConstrutorFranquia/;https://www.linkedin.com/company/casa-do-construtor/;-;https://www.youtube.com/c/CasadoConstrutorOficial?sub_confirmation=1
ALUGUELMAQ ALUGUEL DE EQUIPAMENTOS;;-;Home - AluguelMaq - Locação de Máquinas, Equipamentos e Ferramentas;Rod. José Carlos Daux, 15333  Vargem Pequena, Florianópolis - SC, 88052-401;(48) 3266-5486;☎️ Fixo;-;https://www.aluguelmaq.com.br/;aluguelmaq@hotmail.com;https://www.instagram.com/aluguelmaq_equipamentos/;-;-;-;-
Equipabem Aluguel Balancim-Elétrico-Cadeira-Florianópolis-remoto-SC;;-;Os melhores equipamentos para construção civil em um único lugar. Venha e alugue sua betoneira, seu andaime, balancinho, e muito mais!;R. Fernando Ferreira de Mello, 131  Bom Abrigo, Florianópolis - SC, 88085-260;(48) 3033-3243;☎️ Fixo;-;http://www.equipabem.com.br/;-;http://www.instagram.com/bdthemes/;http://www.facebook.com/bdthemes/;-;-;-
